source_name,start_time,lat,lon,ch4,co2,n2o,pop_max
Holborn Hamburg Refinery,2020-01-01,53.477928,9.950655,53.54484389,1078894.842,10.49080243,0.26494149524919697
Holborn Hamburg Refinery,2021-01-01,53.477928,9.950655,52.23849275,1052572.69,10.23485488,0.25847763052617273
Holborn Hamburg Refinery,2022-01-01,53.477928,9.950655,55.22055993,1112659.463,10.819118,0.2732329883827441
Klesch Heide Refinery,2015-01-01,54.15778,9.07351,54.62469571,1191478.674,10.43148362,0.29258842396717155
Klesch Heide Refinery,2016-01-01,54.15778,9.07351,54.92068645,1197934.85,10.48800792,0.29417385088409065
Klesch Heide Refinery,2017-01-01,54.15778,9.07351,53.95240801,1176814.675,10.30309923,0.2889874225811692
Klesch Heide Refinery,2018-01-01,54.15778,9.07351,50.7195227,1106298.696,9.685726639,0.27167099081420654
Klesch Heide Refinery,2019-01-01,54.15778,9.07351,51.03796719,1113244.636,9.74653885,0.27337668784590224
Klesch Heide Refinery,2020-01-01,54.15778,9.07351,57.60950352,1256583.565,11.00148174,0.30857606845122587
Klesch Heide Refinery,2021-01-01,54.15778,9.07351,56.20398554,1225926.283,10.73307498,0.3010476367476324
Klesch Heide Refinery,2022-01-01,54.15778,9.07351,59.41242538,1295909.055,11.34577931,0.3182331302114742
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2015-01-01,49.05895,8.32988,173.4431685,3783157.667,33.12182426,0.92902052177801
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2016-01-01,49.05895,8.32988,181.4730437,3958306.013,34.65526094,0.9720312609837348
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2017-01-01,49.05895,8.32988,175.2141717,3821786.944,33.46002643,0.9385066162613271
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2018-01-01,49.05895,8.32988,164.4245192,3586442.094,31.39956492,0.8807135728330984
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2019-01-01,49.05895,8.32988,167.7641817,3659287.106,32.03732837,0.8986019393813608
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2020-01-01,49.05895,8.32988,167.7724323,3659467.069,32.03890396,0.8986461324430508
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2021-01-01,49.05895,8.32988,173.108252,3775852.44,33.05786645,0.9272265955405586
Mineraloelraffinerie Oberrhein Karlsruhe Refinery,2022-01-01,49.05895,8.32988,186.6946579,4072200.321,35.652414,1.0
Nynas Hamburg Refinery,2015-01-01,53.474317,9.958536,55.84769331,1125295.806,10.94198945,0.27633606338002153
Nynas Hamburg Refinery,2016-01-01,53.474317,9.958536,56.15031102,1131393.362,11.00127998,0.2778334248846988
Nynas Hamburg Refinery,2017-01-01,53.474317,9.958536,55.1603537,1111446.346,10.80732206,0.272935086289435
Nynas Hamburg Refinery,2018-01-01,53.474317,9.958536,51.85508701,1044847.306,10.1597359,0.25658052739002274
Nynas Hamburg Refinery,2019-01-01,53.474317,9.958536,52.18066118,1051407.42,10.2235242,0.25819147810042126
Nynas Hamburg Refinery,2020-01-01,53.474317,9.958536,58.89932828,1186784.326,11.53988267,0.29143564472500316
Nynas Hamburg Refinery,2021-01-01,53.474317,9.958536,57.46234202,1157829.959,11.25834036,0.28432539357879
Nynas Hamburg Refinery,2022-01-01,53.474317,9.958536,60.74261593,1223925.41,11.9010298,0.3005562873929158
OMV Burghausen Refinery,2015-01-01,48.19254,12.84201,42.48587444,926705.6353,8.113376151,0.22756877418850338
